Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
AUDI A3 e-tron,1.4,4,AMS-6,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JVGAV01.4V3B,small car,7,34/81,39/86,36/83,10,Elite
AUDI A3 e-tron,1.4,4,AMS-6,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JVGAV01.4V3B,small car,7,34/81,39/86,36/83,10,Elite
AUDI A4 Ultra,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JVGAJ02.0AAC,small car,3,27,37,31,7,Yes
AUDI A4 Ultra,2,4,AMS-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAJ02.0AAC,small car,3,27,37,31,7,Yes
BMW 328d,2,4,SemiAuto-8,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,JBMXV02.0N47,small car,3,31,43,36,7,Yes
BMW 328d,2,4,SemiAuto-8,2WD,Diesel,CA,U2,California LEV-II ULEV,JBMXV02.0N47,small car,3,31,43,36,7,Yes
BMW 330e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,JBMXV02.0H48,small car,3,28/66,34/78,30/71,10,Yes
BMW 330e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JBMXV02.0H48,small car,3,28/66,34/78,30/71,10,Yes
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JBMXV02.0H30,small car,7,27/70,31/75,29/72,10,Elite
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JBMXV02.0H30,small car,7,27/70,31/75,29/72,10,Elite
BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JBMXV02.0H30,small car,7,27/66,31/68,28/67,10,Elite
BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JBMXV02.0H30,small car,7,27/66,31/68,28/67,10,Elite
BMW 740e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,JBMXV02.0H48,large car,3,25/62,29/68,27/64,9,Yes
BMW 740e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JBMXV02.0H48,large car,3,25/62,29/68,27/64,9,Yes
BMW X5 xDrive40e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JBMXT02.0H20,standard SUV,3,23/55,25/57,24/56,8,Yes
BMW X5 xDrive40e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,U2,California LEV-II ULEV,JBMXT02.0H20,standard SUV,3,23/55,25/57,24/56,8,Yes
BMW i3 (94Ah),.6,2,Auto-1,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JBMXV00.6I3R,small car,7,36/117,33/101,35/109,10,Elite
BMW i3 (94Ah),.6,2,Auto-1,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JBMXV00.6I3R,small car,7,36/117,33/101,35/109,10,Elite
BMW i3 (94Ah),N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JBMXV00.0I3B,small car,10,129,106,118,10,Elite
BMW i3 (94Ah),N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JBMXV00.0I3B,small car,10,129,106,118,10,Elite
BMW i3s (94Ah),.6,2,Auto-1,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JBMXV00.6I3R,small car,7,36/117,33/101,35/109,10,Elite
BMW i3s (94Ah),.6,2,Auto-1,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JBMXV00.6I3R,small car,7,36/117,33/101,35/109,10,Elite
BMW i3s (94Ah),N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JBMXV00.0I3B,small car,10,126,99,112,10,Elite
BMW i3s (94Ah),N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JBMXV00.0I3B,small car,10,126,99,112,10,Elite
BUICK Encore,1.4,4,SemiAuto-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4001,small SUV,3,27,33,30,7,Yes
BUICK Encore,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4001,small SUV,3,27,33,30,7,Yes
BYD e6,N/A,N/A,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,JBYDV0000001,small SUV,10,73,71,72,10,Elite
CADILLAC CT6 Plug-In,2,4,CVT,2WD,Gasoline/Electricity,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV02.0050,midsize car,3,23/56,29/71,25/62,10,Yes
CADILLAC CT6 Plug-In,2,4,CVT,2WD,Gasoline/Electricity,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV02.0050,midsize car,3,23/56,29/71,25/62,10,Yes
CHEVROLET Bolt EV,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JGMXV00.0002,station wagon,10,128,110,119,10,Elite
CHEVROLET Bolt EV,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JGMXV00.0002,station wagon,10,128,110,119,10,Elite
CHEVROLET Cruze,1.4,4,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,JGMXV01.5002,small car,6,27,40,32,7,Yes
CHEVROLET Cruze,1.4,4,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JGMXV01.5002,small car,6,27,40,32,7,Yes
CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,JGMXV01.5002,small car,6,29,40,33,8,Yes
CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JGMXV01.5002,small car,6,29,40,33,8,Yes
CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,JGMXJ01.6356,small car,3,31,47,37,7,Yes
CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,JGMXJ01.6356,small car,3,31,47,37,7,Yes
CHEVROLET Cruze,1.6,4,Man-6,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,JGMXJ01.6356,small car,3,30,52,37,7,Yes
